slope_pct,raw_speed_kmh,current_speed_kmh,walk_bike_speed_kmh,hybrid_routing_speed_kmh
-31,120.177,24,1.67827,0.25
-30.98,120.137,24,1.67944,0.25
-30.96,120.097,24,1.68062,0.25
-30.94,120.057,24,1.6818,0.25
-30.92,120.017,24,1.68297,0.25
-30.9,119.977,24,1.68415,0.25
-30.88,119.937,24,1.68533,0.25
-30.86,119.896,24,1.68651,0.25
-30.84,119.856,24,1.68769,0.25
-30.82,119.816,24,1.68888,0.25
-30.8,119.776,24,1.69006,0.25
-30.78,119.736,24,1.69124,0.25
-30.76,119.696,24,1.69243,0.25
-30.74,119.655,24,1.69361,0.25
-30.72,119.615,24,1.6948,0.25
-30.7,119.575,24,1.69598,0.25
-30.68,119.535,24,1.69717,0.25
-30.66,119.495,24,1.69836,0.25
-30.64,119.454,24,1.69955,0.25
-30.62,119.414,24,1.70074,0.25
-30.6,119.374,24,1.70193,0.25
-30.58,119.333,24,1.70312,0.25
-30.56,119.293,24,1.70431,0.25
-30.54,119.253,24,1.70551,0.25
-30.52,119.212,24,1.7067,0.25
-30.5,119.172,24,1.7079,0.25
-30.48,119.132,24,1.70909,0.25
-30.46,119.092,24,1.71029,0.25
-30.44,119.051,24,1.71149,0.25
-30.42,119.011,24,1.71269,0.25
-30.4,118.97,24,1.71389,0.25
-30.38,118.93,24,1.71509,0.25
-30.36,118.889,24,1.71629,0.25
-30.34,118.849,24,1.71749,0.25
-30.32,118.808,24,1.71869,0.25
-30.3,118.768,24,1.71989,0.25
-30.28,118.727,24,1.7211,0.25
-30.26,118.687,24,1.7223,0.25
-30.24,118.646,24,1.72351,0.25
-30.22,118.606,24,1.72472,0.25
-30.2,118.565,24,1.72592,0.25
-30.18,118.525,24,1.72713,0.25
-30.16,118.484,24,1.72834,0.25
-30.14,118.443,24,1.72955,0.25
-30.12,118.403,24,1.73076,0.25
-30.1,118.362,24,1.73198,0.25
-30.08,118.322,24,1.73319,0.25
-30.06,118.281,24,1.7344,0.25
-30.04,118.24,24,1.73562,0.25
-30.02,118.2,24,1.73683,0.25
-30,118.159,24,1.73805,0.25
-29.98,118.118,24,1.73927,0.25
-29.96,118.077,24,1.74048,0.25
-29.94,118.037,24,1.7417,0.25
-29.92,117.996,24,1.74292,0.25
-29.9,117.955,24,1.74414,0.25
-29.88,117.914,24,1.74536,0.25
-29.86,117.874,24,1.74659,0.25
-29.84,117.833,24,1.74781,0.25
-29.82,117.792,24,1.74903,0.25
-29.8,117.751,24,1.75026,0.25
-29.78,117.71,24,1.75148,0.25
-29.76,117.669,24,1.75271,0.25
-29.74,117.628,24,1.75394,0.25
-29.72,117.588,24,1.75517,0.25
-29.7,117.547,24,1.75639,0.25
-29.68,117.506,24,1.75762,0.25
-29.66,117.465,24,1.75885,0.25
-29.64,117.424,24,1.76009,0.25
-29.62,117.383,24,1.76132,0.25
-29.6,117.342,24,1.76255,0.25
-29.58,117.301,24,1.76379,0.25
-29.56,117.26,24,1.76502,0.25
-29.54,117.219,24,1.76626,0.25
-29.52,117.178,24,1.76749,0.25
-29.5,117.137,24,1.76873,0.25
-29.48,117.096,24,1.76997,0.25
-29.46,117.055,24,1.77121,0.25
-29.44,117.014,24,1.77245,0.25
-29.42,116.972,24,1.77369,0.25
-29.4,116.931,24,1.77493,0.25
-29.38,116.89,24,1.77618,0.25
-29.36,116.849,24,1.77742,0.25
-29.34,116.808,24,1.77866,0.25
-29.32,116.767,24,1.77991,0.25
